child_events,id,ticket_id,timestamp,updater_id,via,system,event_type
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":708218712894,""comment_present"":true,""via"":""Web form""},{""event_type"":""Change"",""status"":""pending"",""via_reference_id"":null,""id"":708218713034,""previous_value"":""open"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277327"":""244""},""id"":708218713154,""previous_value"":""97"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277347"":""147""},""id"":708218713274,""previous_value"":""97"",""via"":""Web form""}]",708218712734,38725,1557905777,373612143614,Web form,"{""location"":""Tokyo, 40, Japan"",""client"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""longitude"":139.7677,""latitude"":35.64269999999999}",Audit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":707555190913,""comment_present"":true,""via"":""Mail""},{""event_type"":""Change"",""status"":""open"",""via_reference_id"":null,""id"":707555190973,""previous_value"":""pending"",""via"":""Mail""}]",707555190853,38280,1557905834,378130736794,Mail,"{""location"":null,""client"":""Becky! ver. 2.73 [ja]"",""longitude"":null,""latitude"":null}",Audit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":708220630054,""comment_present"":true,""via"":""Chat""}]",708220629974,38872,1557905964,373137462593,Chat,"{""location"":""Fairfield, CT, United States"",""client"":""Zopim-Zendesk Integration v2"",""longitude"":-73.2637,""latitude"":41.1412}",Audit
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":null,""id"":708220634974,""comment_present"":true,""via"":""Chat""}]",708220634874,38872,1557905965,373137462593,Chat,"{""location"":""Fairfield, CT, United States"",""client"":""Zopim-Zendesk Integration v2"",""longitude"":-73.2637,""latitude"":41.1412}",Audit
"[{""event_type"":""Change"",""via_reference_id"":null,""removed_tags"":[],""id"":708220642154,""added_tags"":[""zopim_chat_ended""],""tags"":[""datacenter_aws"",""zopim_chat"",""zopim_chat_ended""],""via"":""Web service""}]",708220642094,38872,1557905965,-1,Web service,"{""location"":null,""client"":null,""longitude"":null,""latitude"":null}",Audit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":708222432794,""comment_present"":true,""via"":""Web form""},{""subject"":""Convert 2 arrays to a map"",""event_type"":""Change"",""via_reference_id"":null,""id"":708222432874,""previous_value"":""Chat with TOSHIKAZU NISHIWAKI"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""id"":708222432954,""previous_value"":""0"",""via"":""Web form"",""type"":""question""},{""event_type"":""Change"",""via_reference_id"":null,""priority"":""normal"",""id"":708222433054,""previous_value"":""0"",""via"":""Web form""},{""event_type"":""Change"",""status"":""pending"",""via_reference_id"":null,""id"":708222433134,""previous_value"":""open"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""removed_tags"":[],""id"":708222433234,""added_tags"":[""category-data-processing"",""ended-escalated-only-support"",""ended-workaround"",""sql-help""],""tags"":[""category-data-processing"",""ended-escalated-only-support"",""ended-workaround"",""sql-help"",""zopim_chat""],""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""81568788"":""ended-escalated-only-support""},""id"":708222433294,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""77496087"":""sql-help""},""id"":708222433374,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""81568808"":""ended-workaround""},""id"":708222433434,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""77984587"":""category-data-processing""},""id"":708222433494,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277327"":""1477""},""id"":708222433534,""previous_value"":""54"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277347"":""1423""},""id"":708222433614,""previous_value"":""54"",""via"":""Web form""}]",708222432694,38854,1557906135,368483327134,Web form,"{""location"":""Tokyo, 40, Japan"",""client"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36"",""longitude"":139.7677,""latitude"":35.64269999999999}",Audit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":707558814473,""comment_present"":true,""via"":""Web form""},{""event_type"":""Change"",""status"":""solved"",""via_reference_id"":null,""id"":707558814493,""previous_value"":""open"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277327"":""6643""},""id"":707558814513,""previous_value"":""6605"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277347"":""38""},""id"":707558814533,""previous_value"":""101"",""via"":""Web form""}]",707558814453,38280,1557906178,368483327134,Web form,"{""location"":""Tokyo, 40, Japan"",""client"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36"",""longitude"":139.7677,""latitude"":35.64269999999999}",Audit
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":369806998173,""id"":707559994933,""comment_present"":true,""via"":""Merge""},{""event_type"":""Change"",""status"":""closed"",""via_reference_id"":369806998173,""id"":707559994953,""previous_value"":""open"",""via"":""Merge""},{""event_type"":""Change"",""via_reference_id"":369806998173,""removed_tags"":[],""id"":707559994973,""added_tags"":[""closed_by_merge""],""tags"":[""closed_by_merge"",""datacenter_aws"",""zopim_chat"",""zopim_chat_ended""],""via"":""Merge""}]",707559994913,38872,1557906292,373612143614,Merge,"{""location"":""Inagi, 40, Japan"",""client"":null,""longitude"":139.55880000000002,""latitude"":35.6345}",TicketMergeAudit
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":null,""id"":707466551713,""comment_present"":true,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""requester_id"":1149067067,""id"":707466551773,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""removed_tags"":[],""id"":707466551833,""added_tags"":[""datacenter_aws"",""datacenter_idcf"",""zopim_chat""],""tags"":[""datacenter_aws"",""datacenter_idcf"",""zopim_chat""],""via"":""Chat""},{""subject"":""Chat with tanaka t-tanaka@unext.jp"",""event_type"":""Create"",""via_reference_id"":null,""id"":707466551893,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707466551933,""assignee_id"":5396187947,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707466551993,""group_id"":25879637,""via"":""Chat""},{""event_type"":""Create"",""status"":""open"",""via_reference_id"":null,""id"":707466552053,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""priority"":null,""id"":707466552113,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707466552193,""via"":""Chat"",""type"":null},{""event_type"":""Create"",""organization_id"":""256160638"",""via_reference_id"":null,""id"":707466552273,""via"":""Chat""},{""event_type"":""Create"",""brand_id"":""381217"",""via_reference_id"":null,""id"":707466552353,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""ticket_form_id"":""166578"",""id"":707466552433,""via"":""Chat""},{""event_type"":""Create"",""is_public"":""f"",""via_reference_id"":null,""id"":707466552453,""via"":""Chat""}]",707466551673,38864,1557896903,1149067067,Chat,"{""location"":""Fairfield, CT, United States"",""client"":""Zopim-Zendesk Integration v2"",""longitude"":-73.2637,""latitude"":41.1412}",Audit
"[{""event_type"":""Change"",""via_reference_id"":null,""removed_tags"":[],""id"":708224247094,""added_tags"":[""jira_escalated""],""tags"":[""customer-avex"",""datacenter_aws"",""jira_escalated""],""via"":""Web service""}]",708224247054,38851,1557906310,5396187947,Web service,"{""location"":""Tokyo, 40, Japan"",""client"":null,""longitude"":139.7677,""latitude"":35.64269999999999}",Audit
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":null,""id"":707559996353,""comment_present"":true,""via"":""Merge""}]",707559996253,38868,1557906292,373612143614,Merge,"{""location"":""Inagi, 40, Japan"",""client"":null,""longitude"":139.55880000000002,""latitude"":35.6345}",TicketMergeAudit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":707513072913,""comment_present"":true,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277327"":""1034""},""id"":707513072973,""previous_value"":""1026"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277347"":""8""},""id"":707513072993,""previous_value"":""22"",""via"":""Web form""}]",707513072893,38703,1557902070,5396187947,Web form,"{""location"":""Tokyo, 40, Japan"",""client"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""longitude"":139.7677,""latitude"":35.64269999999999}",Audit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":707486041773,""comment_present"":true,""via"":""Web service""},{""event_type"":""Change"",""status"":""open"",""via_reference_id"":null,""id"":707486041853,""previous_value"":""pending"",""via"":""Web service""}]",707486041713,38848,1557899417,20938983767,Web service,"{""location"":""Ashburn, VA, United States"",""client"":""node-zendesk/1.3.0 (node/10.14.2)"",""longitude"":-77.4728,""latitude"":39.048100000000005}",Audit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":708176923094,""comment_present"":true,""via"":""Web service""},{""event_type"":""Change"",""status"":""open"",""via_reference_id"":null,""id"":708176923234,""previous_value"":""pending"",""via"":""Web service""}]",708176923054,38703,1557901903,27249871948,Web service,"{""location"":""Ashburn, VA, United States"",""client"":""node-zendesk/1.3.0 (node/10.14.2)"",""longitude"":-77.4728,""latitude"":39.048100000000005}",Audit
"[{""event_type"":""Change"",""via_reference_id"":null,""removed_tags"":[],""id"":708175171494,""added_tags"":[""jira_escalated""],""tags"":[""datacenter_aws"",""inc"",""jira_escalated"",""treasure_data"",""zopim_chat"",""zopim_chat_ended""],""via"":""Web service""}]",708175171474,38847,1557901732,373612143614,Web service,"{""location"":""Inagi, 40, Japan"",""client"":null,""longitude"":139.55880000000002,""latitude"":35.6345}",Audit
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":null,""id"":708150303534,""comment_present"":true,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""id"":708150303634,""assignee_id"":5396187947,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""id"":708150303714,""previous_value"":null,""group_id"":25879637,""via"":""Web form""},{""event_type"":""Change"",""status"":""open"",""via_reference_id"":null,""id"":708150303774,""previous_value"":""new"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277327"":""45""},""id"":708150303834,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277347"":""45""},""id"":708150303914,""previous_value"":null,""via"":""Web form""}]",708150303454,38867,1557899153,5396187947,Web form,"{""location"":""Tokyo, 40, Japan"",""client"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""longitude"":139.7677,""latitude"":35.64269999999999}",Audit
"[{""event_type"":""Change"",""via_reference_id"":null,""id"":707560842333,""previous_value"":""0"",""via"":""Web form"",""type"":""question""},{""event_type"":""Change"",""via_reference_id"":null,""priority"":""normal"",""id"":707560842373,""previous_value"":""0"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""removed_tags"":[],""id"":707560842393,""added_tags"":[""category-data-processing"",""ended-escalated-only-support"",""job-investigation-dataprocess"",""performance-issue"",""presto"",""sql-help""],""tags"":[""category-data-processing"",""datacenter_aws"",""ended-escalated-only-support"",""inc"",""jira_escalated"",""job-investigation-dataprocess"",""performance-issue"",""presto"",""sql-help"",""treasure_data"",""zopim_chat"",""zopim_chat_ended""],""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""81568788"":""ended-escalated-only-support""},""id"":707560842433,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""77496087"":""job-investigation-dataprocess performance-issue presto sql-help""},""id"":707560842473,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""77984587"":""category-data-processing""},""id"":707560842513,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277327"":""240""},""id"":707560842533,""previous_value"":""14"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277347"":""226""},""id"":707560842553,""previous_value"":""14"",""via"":""Web form""}]",707560842293,38850,1557906379,5396187947,Web form,"{""location"":""Tokyo, 40, Japan"",""client"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""longitude"":139.7677,""latitude"":35.64269999999999}",Audit
"[{""event_type"":""Change"",""via_reference_id"":null,""removed_tags"":[],""id"":708225055394,""added_tags"":[""jira_escalated""],""tags"":[""customer-dentsu2"",""datacenter_aws"",""jira_escalated""],""via"":""Web service""}]",708225055294,38853,1557906388,5396187947,Web service,"{""location"":""Tokyo, 40, Japan"",""client"":null,""longitude"":139.7677,""latitude"":35.64269999999999}",Audit
"[{""event_type"":""Change"",""via_reference_id"":null,""id"":708225526974,""previous_value"":""0"",""via"":""Web form"",""type"":""question""},{""event_type"":""Change"",""via_reference_id"":null,""removed_tags"":[],""id"":708225527034,""added_tags"":[""category-data-processing"",""ended-escalated-only-support"",""job-investigation-dataprocess"",""performance-issue"",""presto""],""tags"":[""category-data-processing"",""customer-dentsu2"",""datacenter_aws"",""ended-escalated-only-support"",""jira_escalated"",""job-investigation-dataprocess"",""performance-issue"",""presto""],""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""81568788"":""ended-escalated-only-support""},""id"":708225527074,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""77496087"":""job-investigation-dataprocess performance-issue presto""},""id"":708225527154,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""77984587"":""category-data-processing""},""id"":708225527214,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277327"":""6228""},""id"":708225527294,""previous_value"":""1231"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277347"":""4997""},""id"":708225527354,""previous_value"":""1226"",""via"":""Web form""}]",708225526934,38853,1557906432,5396187947,Web form,"{""location"":""Tokyo, 40, Japan"",""client"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""longitude"":139.7677,""latitude"":35.64269999999999}",Audit
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":null,""id"":708225528974,""comment_present"":true,""via"":""Mail""}]",708225528934,38830,1557906432,9754287708,Mail,"{""location"":null,""client"":null,""longitude"":null,""latitude"":null}",Audit
"[{""event_type"":""Change"",""via_reference_id"":null,""id"":708225804254,""previous_value"":""0"",""via"":""Web form"",""type"":""question""},{""event_type"":""Change"",""via_reference_id"":null,""removed_tags"":[],""id"":708225804294,""added_tags"":[""category-data-processing"",""category-workflow"",""ended-escalated-only-support"",""job-investigation-dataprocess"",""performance-issue"",""presto"",""sql-help"",""workflow-investigation""],""tags"":[""category-data-processing"",""category-workflow"",""customer-kao"",""datacenter_aws"",""ended-escalated-only-support"",""jira_escalated"",""job-investigation-dataprocess"",""performance-issue"",""presto"",""sql-help"",""workflow-investigation""],""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""81568788"":""ended-escalated-only-support""},""id"":708225804334,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""77496087"":""job-investigation-dataprocess performance-issue presto sql-help workflow-investigation""},""id"":708225804354,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""77984587"":""category-data-processing category-workflow""},""id"":708225804374,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277327"":""1803""},""id"":708225804394,""previous_value"":""1197"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277347"":""606""},""id"":708225804414,""previous_value"":""5"",""via"":""Web form""}]",708225804214,38844,1557906458,5396187947,Web form,"{""location"":""Tokyo, 40, Japan"",""client"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""longitude"":139.7677,""latitude"":35.64269999999999}",Audit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":707563029773,""comment_present"":true,""via"":""Web form""},{""event_type"":""Change"",""status"":""pending"",""via_reference_id"":null,""id"":707563029853,""previous_value"":""open"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277327"":""4427""},""id"":707563029893,""previous_value"":""3088"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277347"":""1339""},""id"":707563029913,""previous_value"":""3088"",""via"":""Web form""}]",707563029733,38809,1557906597,368483327134,Web form,"{""location"":""Tokyo, 40, Japan"",""client"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36"",""longitude"":139.7677,""latitude"":35.64269999999999}",Audit
"[{""event_type"":""Change"",""via_reference_id"":null,""removed_tags"":[],""id"":707564753493,""added_tags"":[""inc"",""treasure_data"",""zopim_chat_ended""],""tags"":[""datacenter_aws"",""inc"",""treasure_data"",""zopim_chat"",""zopim_chat_ended""],""via"":""Web service""}]",707564753413,38863,1557906760,-1,Web service,"{""location"":null,""client"":null,""longitude"":null,""latitude"":null}",Audit
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":null,""id"":708228922114,""comment_present"":true,""via"":""Chat""}]",708228922054,38863,1557906760,1149067397,Chat,"{""location"":""Fairfield, CT, United States"",""client"":""Zopim-Zendesk Integration v2"",""longitude"":-73.2637,""latitude"":41.1412}",Audit
[],708150055934,38867,1557899123,1130579717,Web service,"{""location"":""Ashburn, VA, United States"",""client"":""node-zendesk/1.3.0 (node/10.14.2)"",""longitude"":-77.4728,""latitude"":39.048100000000005}",Audit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":707483859733,""comment_present"":true,""via"":""Web service""}]",707483859693,38867,1557899123,21136981988,Web service,"{""location"":""Ashburn, VA, United States"",""client"":""node-zendesk/1.3.0 (node/10.14.2)"",""longitude"":-77.4728,""latitude"":39.048100000000005}",Audit
