timestamp^day^configuration_id^krux_user_id^ip_address^browser^device_type^operating_system^kxbrand^advertiser_id^campaign_id^placement_id^site_id^creative_id^ad_id^is_click^geo_data_display
1554807847000^2019-04-08^tieqarpfa^32f88ab0-9ef6-465f-8fe3-6bd78bccbfe0^49.180.173.37^Chrome Mobile-73^Mobile^Mac OS X (iPhone)^PMISC_AMP^8811883^22515664^243463612^4890811^114165272^440152118^0^country=au&region=nsw&dma=36117&domain=optusnet.com.au&zipcodes=2000
1554808068000^2019-04-08^tieqarpfa^32f88ab0-9ef6-465f-8fe3-6bd78bccbfe0^49.180.173.37^Chrome Mobile-73^Mobile^Mac OS X (iPhone)^PMISC_AMP^8811883^22515664^243463612^4890811^114165272^440152118^0^country=au&region=nsw&dma=36117&domain=optusnet.com.au&zipcodes=2000
1554838073000^2019-04-08^tieqc5vt7^695c16e9-fb87-4fe1-b761-5678b4ae737a^218.250.203.136^Mobile Safari-0^Mobile^Mac OS X (iPhone)^PMISC_AMP^8601507^22342351^240832037^4890811^112462623^437883616^0^country=hk&domain=netvigator.com&zipcodes=0
1554791798000^2019-04-08^tieqc5vt7^I7FXyKH5^59.152.251.12^Chrome 58-73^Computer^Windows 7^PMISC_AMP^8601507^22342351^240830573^4890811^112462623^437785677^0^country=hk&domain=suerp.com&zipcodes=0
1554837600000^2019-04-08^tieqofr37^J-iaJ9yB^222.152.191.164^Chrome 58-73^Computer^Windows 10^PMISC_AMP^8941755^22319229^240492134^4890811^112474365^437490711^0^country=nz&region=auk&dma=554001&domain=sparkbb.co.nz&zipcodes=1010
1554837644000^2019-04-08^tieqofr37^J-iaJ9yB^222.152.191.164^Chrome 58-73^Computer^Windows 10^PMISC_AMP^8941755^22319229^240492134^4890811^112474365^437490711^0^country=nz&region=auk&dma=554001&domain=sparkbb.co.nz&zipcodes=1010
1554802726000^2019-04-08^tieqskzxa^J1sUzxaq^118.200.119.208^Chrome 58-73^Computer^Windows 7^PMISC_AMP^8805309^22378127^241300700^4890811^112950847^438266663^0^country=sg&domain=singnet.com.sg&zipcodes=148943
1554776668000^2019-04-08^tieqarpfa^J4KyTDSv^58.178.92.119^Internet Explorer 11-11^Computer^Windows 10^PMISC_AMP^8811883^22335041^240480344^4890811^112519106^437517743^0^country=au&region=nsw&dma=36121&domain=commander.net.au&zipcodes=2082
1554772212000^2019-04-08^tieqarpfa^J5dHGkBF^203.221.75.46^Chrome 58-73^Computer^Windows 7^PMISC_AMP^8811883^22335041^240480341^4890811^112519106^437514551^0^country=au&region=vic&dma=36206&domain=tpgi.com.au&zipcodes=3145
1554772212000^2019-04-08^tieqarpfa^J5dHGkBF^203.221.75.46^Chrome 58-73^Computer^Windows 7^PMISC_AMP^8811883^22335041^240480020^4890811^112519106^437514548^0^country=au&region=vic&dma=36206&domain=tpgi.com.au&zipcodes=3145
1554772242000^2019-04-08^tieqarpfa^J5dHGkBF^203.221.75.46^Chrome 58-73^Computer^Windows 7^PMISC_AMP^8811883^22335041^240480020^4890811^112519106^437514548^0^country=au&region=vic&dma=36206&domain=tpgi.com.au&zipcodes=3145
1554772242000^2019-04-08^tieqarpfa^J5dHGkBF^203.221.75.46^Chrome 58-73^Computer^Windows 7^PMISC_AMP^8811883^22335041^240480020^4890811^112519106^437514548^0^country=au&region=vic&dma=36206&domain=tpgi.com.au&zipcodes=3145
1554780036000^2019-04-08^tieqarpfa^JEODi94k^139.130.103.254^Chrome 58-71^Computer^Windows 7^PMISC_AMP^8811883^22335041^240480344^4890811^112519106^437517743^0^country=au&region=qld&dma=36305&domain=telstra.net&zipcodes=4000
